obj_key,obj_subprg,Кодзадачи,ДатаНачалаЗадачи,Статуспоэкспертизе,Экспертиза,season,Скорость,Кол-во рабочих,Генподрядчик,Генпроектировщик,Площадь,2023-01-17,2023-01-23,2023-02-06,2023-02-13,2023-02-20,2023-02-27,2023-03-06,2023-03-13,2023-03-20,2023-03-27,2023-04-03,2023-04-10,2023-04-17,2023-04-24,2023-05-02,2023-05-10,2023-05-15,2023-05-22,2023-05-29,y
017-0520,1,1,736999,0,0,4,0.7575757575757576,0,5,8,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1202
017-0520,1,1.4.2,738139,0,0,1,0.7575757575757576,0,5,8,0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,62
017-0520,1,3,737841,0,0,2,0.0833333333333333,0,5,8,0.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,373
017-0520,1,3.1,737841,0,0,2,0.6818181818181818,0,5,8,0.0,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,220
017-0520,1,3.11,737900,0,0,2,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314
017-0520,1,3.13,738011,0,0,3,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
017-0520,1,3.15,738075,0,0,4,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
017-0520,1,3.3,738062,0,0,4,0.7575757575757576,0,5,8,0.0,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,38
017-0520,1,3.8,737941,0,0,2,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
017-0520,1,4,738011,0,0,3,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629
017-0520,1,4.1.1,738105,0,0,4,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
017-0520,1,4.10,738610,0,0,2,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
017-0520,1,4.11,738277,0,0,2,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332
017-0520,1,4.12,738580,0,0,2,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
017-0520,1,4.2,738075,0,0,4,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
017-0520,1,4.3,738125,0,0,1,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
017-0520,1,4.4,738132,0,0,1,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291
017-0520,1,4.5,738398,0,0,3,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
017-0520,1,4.6,738378,0,0,3,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
017-0520,1,4.7,738307,0,0,2,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302
017-0520,1,4.8,738398,0,0,3,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211
017-0520,1,4.9,738247,0,0,2,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362
017-0520,1,5,738613,0,0,2,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
017-0527,0,1,736999,0,0,4,0.7045454545454546,0,5,8,0.0,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,1140
017-0527,0,1.4.2,738131,0,0,1,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
017-0527,0,3,737853,0,0,2,0.0378787878787878,0,5,8,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,426
017-0527,0,3.1,737853,0,0,2,0.6060606060606061,0,5,8,0.0,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,236
017-0527,0,3.11,737914,0,0,2,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
017-0527,0,3.13,738029,0,0,3,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
017-0527,0,3.15,738104,0,0,4,0.0,0,5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175
